id_denuncia,texto_denuncia,nivel_risco
302,Ficam mandando mensagens me xingando de lixo todos os dias. - Aconteceu na quarta.,Risco Moderado
303,Um grupo ameaçou invadir a escola armados porque expulsaram um amigo deles. - Aconteceu na quarta.,Alto Risco
304,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar. - Aconteceu na segunda.,Risco Moderado
305,Estão espalhando mentiras graves sobre mim para a escola inteira. - Aconteceu na terça.,Risco Moderado
306,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar.,Risco Moderado
307,Avisaram que vão me bater na saída da escola hoje.,Risco Moderado
308,Um aluno da minha sala trouxe uma faca na mochila e me mostrou. - Aconteceu na terça.,Alto Risco
309,Me chamaram de feio no recreio. - Aconteceu na quinta.,Baixo Risco
310,Estão espalhando mentiras graves sobre mim para a escola inteira.,Risco Moderado
311,Falaram mal do meu cabelo hoje de manhã.,Baixo Risco
312,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo. - Aconteceu na sexta.,Risco Moderado
313,Um aluno ameaçou matar a professora depois de levar uma advertência. - Aconteceu na terça.,Alto Risco
314,Um aluno da minha sala trouxe uma faca na mochila e me mostrou.,Alto Risco
315,Pegaram minha borracha e não devolveram.,Baixo Risco
316,"Me empurraram na escada de propósito, quase caí.",Risco Moderado
317,Esconderam meu estojo de sacanagem. - Aconteceu na segunda.,Baixo Risco
318,Esconderam meu estojo de sacanagem. - Aconteceu na quinta.,Baixo Risco
319,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar.,Risco Moderado
320,Pegaram minha borracha e não devolveram.,Baixo Risco
321,Um grupo ameaçou invadir a escola armados porque expulsaram um amigo deles.,Alto Risco
322,"Me empurraram na escada de propósito, quase caí.",Risco Moderado
323,Fizeram um grupo no WhatsApp e não me adicionaram.,Baixo Risco
324,Pegaram minha borracha e não devolveram.,Baixo Risco
325,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar.,Risco Moderado
326,Estão espalhando mentiras graves sobre mim para a escola inteira.,Risco Moderado
327,Colocaram um apelido chato em mim durante a aula de educação física. - Aconteceu na segunda.,Baixo Risco
328,"Me empurraram na escada de propósito, quase caí. - Aconteceu na segunda.",Risco Moderado
329,Me chamaram de feio no recreio.,Baixo Risco
330,Pegaram minha borracha e não devolveram.,Baixo Risco
331,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo. - Aconteceu na segunda.,Risco Moderado
332,Um menino da outra turma me deu língua. - Aconteceu na terça.,Baixo Risco
333,Vi um cara vendendo drogas no portão e ele disse que está armado.,Alto Risco
334,Avisaram que vão me bater na saída da escola hoje.,Risco Moderado
335,Um menino da outra turma me deu língua.,Baixo Risco
336,Esconderam meu estojo de sacanagem. - Aconteceu na quinta.,Baixo Risco
337,Avisaram que vão me bater na saída da escola hoje.,Risco Moderado
338,Um menino da outra turma me deu língua. - Aconteceu na segunda.,Baixo Risco
339,Me chamaram de feio no recreio. - Aconteceu na quarta.,Baixo Risco
340,Ficam mandando mensagens me xingando de lixo todos os dias. - Aconteceu na segunda.,Risco Moderado
341,Colocaram um apelido chato em mim durante a aula de educação física.,Baixo Risco
342,Criaram um perfil falso no Instagram só para postar fotos minhas e me humilhar. - Aconteceu na segunda.,Risco Moderado
343,Falaram mal do meu cabelo hoje de manhã.,Baixo Risco
344,Pegaram minha borracha e não devolveram.,Baixo Risco
345,Fizeram um grupo no WhatsApp e não me adicionaram. - Aconteceu na terça.,Baixo Risco
346,Falaram mal do meu cabelo hoje de manhã. - Aconteceu na terça.,Baixo Risco
347,Avisaram que vão me bater na saída da escola hoje.,Risco Moderado
348,Um menino da outra turma me deu língua.,Baixo Risco
349,Rasgaram meu caderno inteiro e jogaram minha mochila no lixo. - Aconteceu na quarta.,Risco Moderado
350,Pegaram minha borracha e não devolveram. - Aconteceu na quarta.,Baixo Risco
351,Esconderam meu estojo de sacanagem.,Baixo Risco
352,Ficam mandando mensagens me xingando de lixo todos os dias. - Aconteceu na quarta.,Risco Moderado
